#,Black player,Rank,White player,Rank,Result,# moves,Date,Event,Round
63,Wu Guangya,6p,Jiang Weijie,9p,W+R,164,2017-01-13, , 
64,É£Ô­Ñô×Ó,6p,ÉÏ̉°°®Đ¦ĂÀ,1p ?,W+3.5,231,2017-01-12, , 
65,²ÜÈêĐñ,7 dan,Đ»¿Æ,2p,W+R,270,2017-01-12, , 
66,Li Weiqing,4p,Park Hamin,2p,W+R,154,2017-01-12,"Shinye, 2nd",Semifinal
67,³ö¿ÚỊ́Àï×Ó,1p ?,×ồïóÆÊ·,3p,W+R,108,2017-01-12, , 
68,ÍâÁøÊÇÎÅ,2p,̀Ù´åÑó¸¨,3p,B+R,161,2017-01-12, , 
69,˜YÔ­Ê·×Ó,6p,Ê¯¾®Üç,3p,W+R,218,2017-01-12, , 
70,Aoki Kikuyo,8p,Fujisawa Rina,3p,W+R,278,2017-01-12, , 
71,̀ƠººÎÄ,6 dan,Cher Hao,4p,W+R,229,2017-01-12, , 
72,Kim Myeonghoon,4p,Han Seungjoo,4p,B+4.5,318,2017-01-12,"Shinye, 2nd",Semifinal
73,ÁơÔÆ³̀,6 dan,ryaowianheo [~],5p,W+R,228,2017-01-12, , 
74,³Ẩ»´¿,6 dan,Peng Liyao,5p,W+R,216,2017-01-12, , 
75,µËÍ₫,6 dan,Meng Tailing,6p,W+R,142,2017-01-12, , 
76,ƠÔÑ×,6 dan,Huang Yunsong,6p,W+R,140,2017-01-12, , 
77,Kobayashi Koichi,9p,Yashiro Kumiko,6p,W+3.5,230,2017-01-12, , 
78,Ma Tian-fang,7 dan,Lian Xiao,7p,W+R,172,2017-01-12, , 
79,°Ầï²Ê,3p,Suzuki Ayumi,7p,W+R,188,2017-01-12, , 
80,Hu Yuqing,8 dan,Zhang Yaoye,9p,W+2.5,299,2017-01-12, , 
81,Íơè¡,1p ?,Tang Weixing,9p,W+R,176,2017-01-12, , 
82,Bai Baoxiang,1p ?,Shi Yue,9p,W+R,238,2017-01-12, , 
83,Chinen Kaori,5p,Ishida Yoshio,9p,W+R,180,2017-01-12, , 
84,Zhou Ruiyang,9p,Mi Yuting,9p,B+R,247,2017-01-12, , 
85,Hane Naoki,9p,Cho U,9p,W+R,178,2017-01-12, , 
86,ÆëÂ³·ë̉ă,6 dan,¾©±±³Ẩ»´¿,6 dan,W+R,272,2017-01-11, , 
87,ÏĂĂÅ¹Û̉ôÉ½Â¬Ä₫,6 dan,º£ÄÏµËÍ₫,6 dan,W+R,132,2017-01-11, , 
88,½đ»ª̀ƠººÎÄ,6 dan,ÖØḈÅíºèÀñ,6 dan,B+1.5,288,2017-01-11, , 
89,Ä₫²¨²ÜÈêĐñ,7 dan,¾©±±³Âê»,6 dan,W+R,236,2017-01-11, , 
90,ĐÂĂñÇå̉»Íơè¡,7 dan,À¼ÖƯÂí̀́·Å,7 dan,W+R,302,2017-01-11, , 
91,À¼ÖƯƠÅ̀©Ø¹,6 dan,¾©±±°×±¦Ïé,8 dan,W+R,264,2017-01-11, , 
92,ĐÂĂñÇå̉»ƠÔÑ×,6 dan,½­ÄÏÀîá·´º,8 dan,B+R,263,2017-01-11, , 
93,¾©±±³Âê»,6 dan,ĐÂĂñÇå̉»ºú́ÏÇå,8 dan,W+R,148,2017-01-11, , 
94,Íơè¡,1p ?,Tang Chongzhe,1p ?,B+R,153,2017-01-11, , 
95,Ma Tian-fang,1p ?,Hu Yuqing,1p ?,B+R,292,2017-01-11, , 
